,Actual,Fitted
2018-03-27,70.11000061035156,59.81872707935872
2018-03-28,69.52999877929688,59.827445316844205
2018-03-29,70.2699966430664,59.8361635543306
2018-03-30,70.2699966430664,59.84488179181608
2018-04-02,67.63999938964844,59.87103650427434
2018-04-03,68.12000274658203,59.879754741760735
2018-04-04,68.0199966430664,59.88847297924622
2018-04-05,68.33000183105469,59.89719121673261
2018-04-06,67.11000061035156,59.90590945421809
2018-04-09,68.6500015258789,59.932064166676355
2018-04-10,71.04000091552734,59.94078240416184
2018-04-11,72.05999755859375,59.94950064164823
2018-04-12,72.0199966430664,59.95821887913462
2018-04-13,72.58000183105469,59.9669371166201
2018-04-16,71.41999816894531,59.99309182907837
2018-04-17,71.58000183105469,60.00181006656385
2018-04-18,73.4800033569336,60.01052830405024
2018-04-19,73.77999877929688,60.01924654153663
2018-04-20,74.05999755859375,60.02796477902211
2018-04-23,74.70999908447266,60.05411949148038
2018-04-24,73.86000061035156,60.06283772896586
2018-04-25,74.0,60.07155596645225
2018-04-26,74.73999786376953,60.08027420393773
2018-04-27,74.63999938964844,60.088992441424125
2018-04-30,75.16999816894531,60.11514715388239
2018-05-01,75.16999816894531,60.12386539136787
2018-05-02,73.36000061035156,60.13258362885426
2018-05-03,73.62000274658203,60.141301866339745
2018-05-04,74.87000274658203,60.15002010382614
2018-05-07,76.16999816894531,60.1761748162844
2018-05-08,74.8499984741211,60.18489305376988
2018-05-09,77.20999908447266,60.193611291256275
2018-05-10,77.47000122070312,60.20232952874176
2018-05-11,77.12000274658203,60.21104776622815
2018-05-14,78.2300033569336,60.23720247868641
2018-05-15,78.43000030517578,60.245920716171895
2018-05-16,79.27999877929688,60.25463895365829
2018-05-17,79.30000305175781,60.26335719114377
2018-05-18,78.51000213623047,60.27207542863016
2018-05-21,79.22000122070312,60.298230141088425
2018-05-22,79.56999969482422,60.30694837857391
2018-05-23,79.80000305175781,60.3156666160603
2018-05-24,78.79000091552734,60.32438485354578
2018-05-25,76.44000244140625,60.33310309103217
2018-05-28,76.44000244140625,60.35925780348953
2018-05-29,75.38999938964844,60.36797604097592
2018-05-30,77.5,60.37669427846231
2018-05-31,77.58999633789062,60.38541251594779
2018-06-01,77.58999633789062,60.39413075343418
2018-06-04,75.29000091552734,60.42028546589154
2018-06-05,75.37999725341797,60.42900370337793
2018-06-06,75.36000061035156,60.43772194086432
2018-06-07,77.31999969482422,60.4464401783498
2018-06-08,76.45999908447266,60.455158415836195
2018-06-11,76.45999908447266,60.48131312829355
2018-06-12,75.87999725341797,60.49003136577994
2018-06-13,76.73999786376953,60.49874960326633
2018-06-14,75.94000244140625,60.507467840751815
2018-06-15,73.44000244140625,60.516186078238206
2018-06-18,75.33999633789062,60.54234079069556
2018-06-19,75.08000183105469,60.55105902818195
2018-06-20,74.73999786376953,60.559777265667435
2018-06-21,73.05000305175781,60.56849550315383
2018-06-22,75.55000305175781,60.57721374064022
2018-06-25,74.7300033569336,60.60336845309757
2018-06-26,76.30999755859375,60.612086690583965
2018-06-27,77.62000274658203,60.62080492806945
2018-06-28,77.8499984741211,60.62952316555584
2018-06-29,79.44000244140625,60.63824140304223
2018-07-02,77.30000305175781,60.664396115499585
2018-07-03,77.76000213623047,60.673114352985976
2018-07-04,77.76000213623047,60.68183259047146
2018-07-05,77.38999938964844,60.69055082795785
2018-07-06,77.11000061035156,60.69926906544333
2018-07-09,78.06999969482422,60.7254237779016
2018-07-10,78.86000061035156,60.73414201538799
2018-07-11,73.4000015258789,60.74286025287347
2018-07-12,74.44999694824219,60.75157849035986
2018-07-13,75.33000183105469,60.76029672784534
2018-07-16,71.83999633789062,60.78645144030361
2018-07-17,72.16000366210938,60.79516967779
2018-07-18,72.9000015258789,60.80388791527548
2018-07-19,72.58000183105469,60.81260615276187
2018-07-20,73.06999969482422,60.821324390247355
2018-07-23,73.05999755859375,60.84747910270562
2018-07-24,73.44000244140625,60.85619734019201
2018-07-25,73.93000030517578,60.86491557767749
2018-07-26,74.54000091552734,60.873633815163885
2018-07-27,74.29000091552734,60.88235205264937
2018-07-30,74.97000122070312,60.90850676510763
2018-07-31,74.25,60.91722500259402
2018-08-01,74.25,60.925943240079505
2018-08-02,73.44999694824219,60.934661477565896
2018-08-03,73.20999908447266,60.94337971505138
2018-08-06,73.75,60.96953442750964
2018-08-07,74.6500015258789,60.978252664995125
2018-08-08,72.27999877929688,60.98697090248152
2018-08-09,72.06999969482422,60.99568913996791
2018-08-10,72.80999755859375,61.00440737745339
2018-08-13,72.61000061035156,61.030562089911655
2018-08-14,72.45999908447266,61.03928032739714
2018-08-15,70.76000213623047,61.04799856488353
2018-08-16,71.43000030517578,61.05671680236992
2018-08-17,71.83000183105469,61.0654350398554
2018-08-20,72.20999908447266,61.091589752313666
2018-08-21,72.62999725341797,61.10030798979915
2018-08-22,74.77999877929688,61.10902622728554
2018-08-23,74.7300033569336,61.11774446477193
2018-08-24,75.81999969482422,61.12646270225741
2018-08-27,76.20999908447266,61.15261741471568
2018-08-28,75.94999694824219,61.16133565220116
2018-08-29,77.13999938964844,61.17005388968755
2018-08-30,77.7699966430664,61.17877212717303
2018-08-31,77.41999816894531,61.187490364659425
2018-09-03,77.41999816894531,61.21364507711769
2018-09-04,78.16999816894531,61.22236331460317
2018-09-05,77.2699966430664,61.23108155208956
2018-09-06,76.5,61.239799789575045
2018-09-07,76.83000183105469,61.248518027061436
2018-09-10,77.37000274658203,61.2746727395197
2018-09-11,79.05999755859375,61.28339097700518
2018-09-12,79.73999786376953,61.292109214491575
2018-09-13,78.18000030517578,61.30082745197706
2018-09-14,78.08999633789062,61.30954568946345
2018-09-17,78.05000305175781,61.33570040192171
2018-09-18,79.02999877929688,61.344418639407195
2018-09-19,79.4000015258789,61.353136876893586
2018-09-20,78.69999694824219,61.36185511437907
2018-09-21,78.80000305175781,61.37057335186546
2018-09-24,81.19999694824219,61.396728064323725
2018-09-25,81.87000274658203,61.40544630180921
2018-09-26,81.33999633789062,61.4141645392956
2018-09-27,81.72000122070312,61.42288277678108
2018-09-28,82.72000122070312,61.43160101426747
2018-10-01,84.9800033569336,61.45775572672483
2018-10-02,84.80000305175781,61.46647396421122
2018-10-03,86.29000091552734,61.47519220169761
2018-10-04,84.58000183105469,61.48391043918309
2018-10-05,84.16000366210938,61.49262867666948
2018-10-08,83.91000366210938,61.51878338912684
2018-10-09,85.0,61.52750162661323
2018-10-10,83.08999633789062,61.53621986409962
2018-10-11,80.26000213623047,61.5449381015851
2018-10-12,80.43000030517578,61.553656339071495
2018-10-15,80.77999877929688,61.57981105152885
2018-10-16,81.41000366210938,61.58852928901524
2018-10-17,80.05000305175781,61.59724752650163
2018-10-18,79.29000091552734,61.605965763987115
2018-10-19,79.77999877929688,61.614684001473506
2018-10-22,79.83000183105469,61.64083871393086
2018-10-23,76.44000244140625,61.64955695141725
2018-10-24,76.16999816894531,61.658275188902735
2018-10-25,76.88999938964844,61.666993426389126
2018-10-26,77.62000274658203,61.67571166387552
2018-10-29,77.33999633789062,61.70186637633287
2018-10-30,75.91000366210938,61.710584613819265
2018-10-31,75.47000122070312,61.71930285130475
2018-11-01,75.5,61.72802108879114
2018-11-02,72.83000183105469,61.73673932627753
2018-11-05,73.16999816894531,61.762894038734885
2018-11-06,72.12999725341797,61.771612276221276
2018-11-07,72.06999969482422,61.78033051370676
2018-11-08,70.6500015258789,61.78904875119315
2018-11-09,70.18000030517578,61.79776698867863
2018-11-12,70.12000274658203,61.823921701136896
2018-11-13,65.47000122070312,61.83263993862329
2018-11-14,66.12000274658203,61.84135817610877
2018-11-15,66.62000274658203,61.85007641359516
2018-11-16,66.76000213623047,61.85879465108064
2018-11-19,66.79000091552734,61.88494936353891
2018-11-20,62.529998779296875,61.8936676010253
2018-11-21,63.47999954223633,61.90238583851078
2018-11-22,63.47999954223633,61.91110407599717
2018-11-23,58.79999923706055,61.919822313482655
2018-11-26,60.47999954223633,61.94597702594092
2018-11-27,60.209999084472656,61.95469526342731
2018-11-28,58.7599983215332,61.96341350091279
2018-11-29,59.5099983215332,61.972131738399185
2018-11-30,58.709999084472656,61.98084997588467
2018-12-03,61.689998626708984,62.00700468834293
2018-12-04,62.08000183105469,62.01572292582932
2018-12-05,62.08000183105469,62.024441163314805
2018-12-06,60.060001373291016,62.033159400801196
2018-12-07,61.66999816894531,62.04187763828668
2018-12-10,59.970001220703125,62.06803235074494
2018-12-11,60.20000076293945,62.076750588230425
2018-12-12,60.150001525878906,62.085468825716816
2018-12-13,61.45000076293945,62.09418706320321
2018-12-14,60.279998779296875,62.10290530068869
2018-12-17,59.61000061035156,62.129060013146955
2018-12-18,56.2599983215332,62.13777825063244
2018-12-19,57.2400016784668,62.14649648811883
2018-12-20,54.349998474121094,62.15521472560522
2018-12-21,53.81999969482422,62.1639329630907
2018-12-24,50.470001220703125,62.190087675548966
2018-12-25,50.470001220703125,62.19880591303445
2018-12-26,54.470001220703125,62.20752415052084
2018-12-27,52.15999984741211,62.21624238800723
2018-12-28,52.20000076293945,62.22496062549271
2018-12-31,53.79999923706055,62.25111533795098
2019-01-01,53.79999923706055,62.25983357543646
2019-01-02,54.90999984741211,62.26855181292285
2019-01-03,55.95000076293945,62.27727005040833
2019-01-04,57.060001373291016,62.285988287894725
2019-01-07,57.33000183105469,62.31214300035299
2019-01-08,58.720001220703125,62.32086123783847
2019-01-09,61.439998626708984,62.32957947532486
2019-01-10,61.68000030517578,62.338297712810345
2019-01-11,60.47999954223633,62.347015950296736
2019-01-14,58.9900016784668,62.373170662755
2019-01-15,60.63999938964844,62.38188890024048
2019-01-16,61.31999969482422,62.390607137726874
2019-01-17,61.18000030517578,62.39932537521236
2019-01-18,62.70000076293945,62.40804361269875
2019-01-21,62.70000076293945,62.43419832515701
2019-01-22,61.5,62.442916562642495
2019-01-23,61.13999938964844,62.451634800128886
2019-01-24,61.09000015258789,62.46035303761437
2019-01-25,61.63999938964844,62.46907127510076
2019-01-28,59.93000030517578,62.495225987559024
2019-01-29,61.31999969482422,62.503944225044506
2019-01-30,61.650001525878906,62.5126624625309
